"ts","value"
28.5425,0
237.88,1
343.48,2
443.26,3
542.2,4
640.5,5
738.6,6
837.78,7
938.38,8
1038.34,9
1136.5,10
1241.18,11
1339.8600000000001,12
1438.38,13
1537.4,14
1636.8600000000001,15
1742.92,16
1842.02,17
1941.1200000000001,18
2042.28,19
2146.66,20
2324.4,21
2423.34,22
2522.26,23
2620.98,24
2719.66,25
2818.28,26
2917.86,27
3017.2000000000003,28
3116.14,29
3214.1,30
3312.32,31
3412.16,32
3510.02,33
3608.8,34
3707.32,35
3805.66,36
